poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori
1,7,85,5,6,36,2,1,NA
3,0,92.5,5,4,40,1,1,1
1,0,92.5,NA,6,58,1,1,1
4,7,50,4,0,78,2,1,3
4,2,55,4,4.5,50,1,1,NA
4,0,97.5,5,0,54,2,1,3
4,0,50,NA,7.5,48,1,1,3
2,5,100,5,1.5,29,2,1,3
5,0,72.5,NA,2.5,71,1,1,3
4,7,85,2,1.5,62,2,2,3
4,0,50,NA,0,60,1,1,3
4,2,60,4,0,60,2,1,3
6,0,50,5,0,53,2,1,NA
5,0,60,5,1.5,47,1,1,3
4,5,70,NA,1.5,34,2,1,3
5,8,35,NA,0,27,2,2,3
2,3,50,NA,0,29,2,2,3
1,0,50,1,0,74,2,1,3
3,3,100,NA,1.5,30,2,2,NA
2,1,90,5,3.5,38,1,1,2
6,7,40,NA,0.5,49,2,1,3
5,2,30,4,0,44,1,3,NA
3,1,70,5,0,66,2,1,3
1,2,100,NA,4,59,2,3,3
3,7,60,4,0.5,44,1,1,NA
4,1,65,NA,1.5,37,1,1,3
6,7,50,2,2.5,48,1,1,NA
6,7,0,4,0,25,1,2,3
5,5,100,5,4.5,44,2,1,NA
6,8,67.5,1,0,49,2,2,NA
6,7,50,1,2,61,2,1,NA
4,2,85,5,1.5,57,2,1,NA
5,0,90,5,0,33,2,3,NA
4,0,50,NA,0,50,1,2,3
6,2,92.5,5,3,68,2,1,3
3,0,85,4,0,37,1,2,3
3,0,50,5,3,44,2,1,3
4,7,65,2,0,54,2,2,NA
NA,0,60,3,0,52,1,2,3
4,3,50,1,0,73,2,1,NA
5,7,70,NA,0,43,1,3,3
2,3,67.5,5,4,35,2,3,3
2,0,72.5,NA,1.5,31,2,1,1
4,0,67.5,5,0.5,25,1,1,3
3,2,92.5,5,2,44,1,1,1
6,1,50,4,2,67,1,1,NA
4,2,50,4,1.5,45,2,1,NA
3,1,72.5,5,0.5,63,2,1,NA
5,7,67.5,NA,0,36,1,1,3
4,3,100,4,0,35,2,1,3
5,5,55,3,4.5,51,1,1,3
5,6,0,NA,0,40,1,2,3
6,7,55,4,0.5,45,1,1,NA
4,0,40,5,2,36,2,3,3
2,2,100,5,3,38,1,1,3
1,3,100,NA,1.5,44,2,1,2
3,7,85,NA,0.5,29,2,2,3
5,7,50,2,2,28,2,2,NA
4,8,50,1,0,68,2,1,3
2,0,100,NA,6,30,2,1,3
2,0,77.5,5,2,54,1,1,2
4,2,50,5,0,56,2,1,3
2,0,100,NA,12,34,1,1,1
4,0,77.5,NA,2.5,21,2,1,3
2,0,85,5,3,59,2,1,1
3,2,100,5,1.5,63,2,1,3
2,2,100,5,10,49,2,1,NA
3,2,50,5,3,42,2,1,NA
4,7,50,2,2,55,1,1,NA
4,3,60,5,7.5,32,1,1,1
3,7,70,1,2.5,67,2,2,NA
4,0,50,5,5,76,2,2,3
4,4,50,NA,0,72,1,1,3
2,4,60,3,2.5,49,1,2,NA
4,8,50,NA,1.5,65,1,1,3
6,0,50,NA,2,60,1,1,3
4,4,50,4,0,44,2,2,3
6,5,NA,NA,0,61,1,2,3
2,6,15.5,1,1.5,48,1,2,3
6,8,100,NA,4,55,2,1,3
4,0,85,5,5,27,1,3,NA
5,0,100,5,7.5,52,1,1,2
6,7,7.5,1,0,63,2,1,3
2,0,70,NA,0,86,1,1,3
4,0,60,NA,6.5,45,2,2,3
6,0,50,3,0,73,2,1,NA
5,2,92.5,5,1.5,41,1,1,1
5,3,50,4,0,70,2,1,3
5,2,60,NA,2.5,59,2,1,3
4,5,NA,NA,2.5,62,2,1,3
5,7,45,5,0,33,1,1,3
4,2,65,NA,0,54,2,1,3
4,2,50,5,0,42,2,1,3
6,8,32.5,1,0,44,1,1,NA
4,0,50,NA,0,39,1,1,3
3,1,50,NA,2,29,1,3,3
2,0,77.5,5,8.5,62,2,3,NA
4,5,70,5,1,33,1,1,NA
2,2,25,5,1.5,30,1,1,NA
4,3,60,3,1.5,62,1,1,NA
3,0,47.5,5,0,24,1,1,3
3,7,30,4,0,49,2,1,NA
4,7,85,5,0.5,31,2,1,3
5,3,50,NA,1.5,69,1,1,3
1,2,67.5,5,3,29,1,1,3
3,0,100,5,2,25,1,1,3
2,1,70,NA,0.5,33,1,1,3
2,0,100,NA,3.5,29,2,1,1
3,0,77.5,NA,0,18,1,3,3
2,5,50,4,2,65,1,1,3
6,7,70,5,0,63,1,1,NA
4,4,50,NA,5,33,1,1,3
3,7,92.5,NA,0,27,1,2,3
1,0,72.5,5,1.5,67,1,1,NA
6,6,50,3,0.5,42,1,1,3
4,4,85,5,2.5,56,2,1,2
2,0,100,NA,4,59,2,1,2
2,0,100,5,0.5,68,2,1,NA
6,3,50,5,5,63,1,1,NA
6,0,60,NA,0,81,2,1,3
5,0,100,4,7,20,2,1,NA
2,1,50,NA,4,26,2,1,2
2,0,50,5,5,35,2,1,3
3,0,65,5,1.5,43,2,1,3
5,0,50,NA,2,68,2,1,3
2,1,75,5,3.5,58,2,1,3
2,0,100,NA,2.5,24,2,1,3
7,0,50,NA,0,53,2,1,3
7,7,60,2,2,70,1,1,NA
4,1,50,4,0,45,1,1,3
5,7,15,NA,0,84,1,1,3
3,5,85,4,0,65,1,1,3
4,0,50,NA,2.5,52,2,1,3
3,0,47.5,5,2.5,30,1,1,NA
6,0,25,NA,0,71,2,1,NA
6,0,40,NA,0,54,1,1,NA
1,0,45,NA,0,80,2,1,NA
4,7,25,1,0,48,2,3,NA
7,1,50,4,1.5,55,2,1,NA
4,7,50,3,2,85,2,1,3
5,8,50,NA,2,62,1,1,3
4,7,77.5,5,1.5,78,2,1,NA
2,7,100,NA,1,72,2,1,3
4,7,50,NA,2,63,2,1,3
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,6,NA,NA,NA,NA
NA,NA,55,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0.5,NA,NA,NA,NA
NA,NA,92.5,NA,4,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,80,NA,2,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,85,NA,6,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,3.5,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,55,NA,6,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,4,NA,NA,NA,NA
NA,NA,92.5,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,0,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,15,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,2,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,90,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,75,NA,1.5,NA,NA,NA,NA
NA,NA,95,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,25,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,8,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,70,NA,0.5,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,67.5,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,72.5,NA,2.5,NA,NA,NA,NA
NA,NA,47.5,NA,1,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,5,NA,NA,NA,NA
NA,NA,100,NA,8.5,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,85,NA,5,NA,NA,NA,NA
NA,NA,67.5,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,60,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,72.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,92.5,NA,4.5,NA,NA,NA,NA
NA,NA,40,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,50,NA,5,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,98.5,NA,0,NA,NA,NA,NA
NA,NA,85,NA,4.5,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,30,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,27.5,NA,0,NA,NA,NA,NA
NA,NA,55,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,47.5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,7.5,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,55,NA,2.5,NA,NA,NA,NA
NA,NA,37.5,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,5,NA,NA,NA,NA
NA,NA,50,NA,0.5,NA,NA,NA,NA
NA,NA,45,NA,1.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,55,NA,0,NA,NA,NA,NA
NA,NA,80,NA,0.5,NA,NA,NA,NA
NA,NA,60,NA,1.5,NA,NA,NA,NA
NA,NA,85,NA,4,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,NA,NA,0.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,70,NA,8,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,85,NA,7.5,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,100,NA,10,NA,NA,NA,NA
NA,NA,100,NA,1,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,100,NA,3.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,70,NA,4,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,65,NA,0.5,NA,NA,NA,NA
NA,NA,85,NA,5,NA,NA,NA,NA
NA,NA,57.5,NA,0,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,100,NA,6.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,100,NA,4.5,NA,NA,NA,NA
NA,NA,75,NA,1.5,NA,NA,NA,NA
NA,NA,100,NA,6,NA,NA,NA,NA
NA,NA,45,NA,1.5,NA,NA,NA,NA
NA,NA,88,NA,0,NA,NA,NA,NA
NA,NA,70,NA,2.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,67.5,NA,0.5,NA,NA,NA,NA
NA,NA,70,NA,2,NA,NA,NA,NA
NA,NA,50,NA,6,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,57.5,NA,0,NA,NA,NA,NA
NA,NA,55,NA,4,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,75,NA,0,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,49.5,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,80,NA,5.5,NA,NA,NA,NA
NA,NA,87.5,NA,5,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,50,NA,5.5,NA,NA,NA,NA
NA,NA,5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
NA,NA,60,NA,8.5,NA,NA,NA,NA
NA,NA,75,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,27.5,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,0.5,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,45,NA,0.5,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,87.5,NA,0,NA,NA,NA,NA
NA,NA,5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,17.5,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,0,NA,2,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,22.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,67.5,NA,2,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,72.5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,87.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,55,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,97.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,32.5,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,75,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,7,NA,NA,NA,NA
NA,NA,85,NA,1,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,45,NA,2,NA,NA,NA,NA
NA,NA,72.5,NA,4,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,67.5,NA,2,NA,NA,NA,NA
